Source ID,Source,Type,URL,Access on 2026-09-12,Coverage,Confidence,Limitations
LA01,BradyGames official guide sample,Official guide,https://ptgmedia.pearsoncmg.com/images/9780744009347/samplepages/0934-7_mcla.pdf,Full PDF accessible; pages visually checked,REP p.5–6; garage p.32–34; showroom p.37,A,2008 sample predates DLC. REP payouts are estimates. Stat bars have no numeric labels.
LA02,91sportsfan FAQ v1.3,Contemporary fan FAQ,https://www.neoseeker.com/midnight-club-los-angeles/faqs/186738-midnight-club-la.html,Search-index text accessible; direct request blocked,MCLA2 roster/prices/tune quotes; ranks and mission rewards,C,"Updated Nov 2009. GamesRadar mirror is an earlier revision, not independent corroboration."
LA03,Japanese MCLA wiki vehicle table,Independent fan table,https://w.atwiki.jp/mcla/pages/12.html,Page text accessible in web tool,"Original roster prices, types and classes",C,Skyline group error; DUB class/state ambiguity. MPH figures omitted from comparison because test conditions are unspecified.
LA04,91sportsfan guide mirror,Fan FAQ mirror,https://www.gamesradar.com/midnight-club-los-angeles-guide/,Full page accessible,Base and SC Premium roster; reward missions,C,Same author as LA02; not independent. Encoding and starter-year errors retained in conflict log.
LA05,Prize Vehicle,Fan reference,https://midnightclub.fandom.com/wiki/Prize_Vehicle,Search-index text accessible,Named car rewards and variants,C,Ballerz is a preset; four DUB models are separate roster entries.
LA06,MCLA roster overview,Fan reference,https://midnightclub.fandom.com/wiki/Vehicles_in_Midnight_Club_Los_Angeles,Search-index text accessible,67 total and edition context,D,Prose says 15 SC additions; row-level pack counts give 16. Do not copy the prose subtotal.
LA07,South Central announcement,Publisher release,https://ir.take2games.com/static-files/1fb58ed0-e18b-4ec1-9f81-a4bc4ac67317,Publisher PDF accessible,Nine SC Premium vehicles and expansion features,A,Historical announcement; release/store prices are not current purchase offers.
LA08,Driving Test retirement record,Contemporary forum archive,https://www.playstationtrophies.org/forum/topic/218660-servers-shutdown-on-june-10th-2014-closed-july-16th/,Page/index accessible,2014 removal of Driving Test unlocks,B,Quotes Rockstar notice. Original support URL no longer returned usable content. Corroborated by LA09.
LA09,Audi R8 entry,Fan vehicle catalogue,https://www.igcd.net/vehicle.php?id=13294,Search-index text accessible,Driving Test no longer available,C,"Availability distinction applies to a fresh unmodified save, not previously unlocked saves."
LA10,Starter Cars,Fan reference,https://midnightclub.fandom.com/wiki/Starter_Cars,Search-index text accessible,"Golf, Scirocco, 240SX starter choices",B,Aligns with official guide p.37. Datsun is a rival reward.
LA11,Class D / Class C / Tuner entries,Fan classification,https://midnightclub.fandom.com/wiki/Class_D,Search-index text accessible,Lowrider classes; see LA12 and LA13 for C/tuners,C,Base class differs from purchase group and can change with upgrades.
LA12,Class C,Fan classification,https://midnightclub.fandom.com/wiki/Class_C,Search-index text accessible,"SC muscle cars, Malibu, SUVs",C,Class refers to specified vehicle state.
LA13,Tuner,Fan classification,https://midnightclub.fandom.com/wiki/Tuner,Search-index text accessible,Eclipse Spyder and Evo X classes,C,Group and class recorded independently.
LA14,Audi S5,Fan vehicle entry,https://midnightclub.fandom.com/wiki/Audi_S5,Search-index text accessible,"Class B, Group 3; cosmetic costs",C,Real-world engine specifications excluded from in-game stats.
LA15,Cadillac XLR-V,Fan vehicle entry,https://midnightclub.fandom.com/wiki/Cadillac_XLR-V,Search-index text accessible,"Class B, Group 4",C,Do not confuse with MC3 XLR.
LA16,Aston Martin DB9,Fan vehicle entry,https://midnightclub.fandom.com/wiki/Aston_Martin_DB9,Search-index text accessible,"Class B, Group 4; cosmetic costs",C,Cosmetic spending is separate from performance tuning.
LA17,Ducati 1098R,Fan vehicle entry,https://midnightclub.fandom.com/wiki/Ducati_1098R,Search-index text accessible,Group 3-priced upgrades claim,D,Conflicts with FAQ Group 4 bike total. No replacement total asserted.
LA18,Range Rover Sport,Fan vehicle entry,https://midnightclub.fandom.com/wiki/Land_Rover_Range_Rover_Sport,Search-index text accessible,Ballerz preset and tournament condition,C,Counted once in roster; reward has its own event row.
LA19,Downtown Tournament,Fan event reference,https://midnightclub.fandom.com/wiki/Downtown_Tournament,Search-index text accessible,Early DUB acquisition and level-1 parts,C,A prize can precede the normal purchase gate.
LA20,Saleen S302 Extreme class,Fan vehicle/class entry,https://midnightclub.fandom.com/wiki/Saleen_S302_Extreme,Search-index text accessible,Base class,C,
LA21,Mercedes-Benz CLK63 AMG Black Series class,Fan vehicle/class entry,https://midnightclub.fandom.com/wiki/Mercedes-Benz_CLK_63_AMG_Black_Series_(C209),Search-index text accessible,Base class,C,
LA22,Mercedes-Benz CL65 AMG class,Fan vehicle/class entry,https://midnightclub.fandom.com/wiki/Mercedes-Benz_CL_65_AMG_(C216),Search-index text accessible,Base class,C,
LA23,Ducati 1098R class,Fan vehicle/class entry,https://midnightclub.fandom.com/wiki/Class_A,Search-index text accessible,Base class,C,
