Pattern,MCLA evidence,Design implication,NightShift experiment,Status,Evidence source
Two gates,REP grants access; cash pays for vehicles and parts.,Progression can reward participation while preserving purchase choice.,Try one reputation gate followed by several affordable body styles.,Proposal,LA01 p.6; MCLA Vehicles
Staggered upgrades,"Group 2 arrives at 2,000 REP; Group 1 level 2 at 3,610.",The next tier appears before the old tier has exhausted its upgrades.,Test old-car investment against buying a new chassis.,Inference / proposal,LA01 p.6
Prizes remain central,"18 named award routes are documented here, including five time trials.",A REP economy can still use ownership rewards to encourage variety.,Give one rival a recognizable ready-to-drive car prize.,Inference / proposal,MCLA Rewards
Loan before ownership,Time-trial chains lend a specific car and award it after repeated records.,Players learn the reward before they own it.,Prototype a three-step loaner challenge with the same car.,Proposal,LA05
Difficulty changes routes,Guide race examples remove checkpoints in Hard layouts.,Higher difficulty can ask for route knowledge as well as speed.,Create two checkpoint layouts on one authored route.,Proposal,LA01 p.62–63
Groups differ from class,Ducati 999R is Group 3 but Class A; upgrades can change class.,Access tier and race eligibility solve different problems.,Keep ownership gates separate from event performance limits.,Proposal,LA03; LA01 p.32
Economy endpoint,"Garage partnership trades $1,000,000 for free vehicles and parts.","Saving has an explicit ending, followed by experimentation.",Consider a late garage benefit that removes a recurring spending constraint.,Proposal,LA02; LA05
Identity rewards,Cosmetic access tracks vehicle-type race participation.,Using a type can unlock expression without requiring every race to be won.,Reward participation with a livery element before a power increase.,Proposal,LA02
Offline ownership,"R8 content survives, but its normal online unlock was retired.",A reward dependency can outlive its service.,Make permanent vehicle rewards earnable offline.,Proposal,LA08; LA09
Comparison limit,Roster prize share is not prize frequency or hours between rewards.,A count cannot establish career cadence without a playthrough timeline.,Measure reward timing in a future instrumented playthrough.,Method limitation,Cross-game; MCLA Rewards
